"metabolite_id","metabolite_name"
"8",NA
"9",NA
"12",NA
"14",NA
"15",NA
"16",NA
"24",NA
"25",NA
"30",NA
"32",NA
"33",NA
"36",NA
"37",NA
"46",NA
"75",NA
"11",NA
"18",NA
"22",NA
"26",NA
"27",NA
"28",NA
"50",NA
"52",NA
"56",NA
"57",NA
"60",NA
"61",NA
"62",NA
"65",NA
"66",NA
"68",NA
"70",NA
"81",NA
"86",NA
"88",NA
"89",NA
"90",NA
"97",NA
"98",NA
"99",NA
"101",NA
"1",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"17",NA
"19",NA
"20",NA
"31",NA
"49",NA
"58",NA
"64",NA
"87",NA
"100",NA
"10",NA
"13",NA
"23",NA
"29",NA
"35",NA
"38",NA
"47",NA
"48",NA
"53",NA
"55",NA
"63",NA
"69",NA
"71",NA
"76",NA
"77",NA
"78",NA
"85",NA
"91",NA
"92",NA
"93",NA
"2",NA
"21",NA
"51",NA
"67",NA
"74",NA
"83",NA
"84",NA
"34",NA
"39",NA
"40",NA
"41",NA
"42",NA
"43",NA
"44",NA
"45",NA
"54",NA
"59",NA
"72",NA
"73",NA
"79",NA
"80",NA
"82",NA
"94",NA
"95",NA
"96",NA
